Candidate,Job Title,Role Description,,Pronoun1,Pronoun2
Alex,Anaesthesiologist,Administers anesthesia and monitors patient vitals during surgery.,,he/him,they/them
Avery,Flight attendant,Ensures passenger safety and provides service on board aircraft.,,she/her,they/them
Blake,Pediatric nurse,Provides specialized nursing care to children and adolescents.,,he/him,they/them
Cameron,Policy Analyst,Researches and evaluates public policies and programs.,,he/him,they/them
Casey,Software QA Tester,Tests software applications to identify and resolve bugs.,,she/her,they/them
Charlie,Nanny,Provides personalized childcare in a familyâ€™s home.,,he/him,they/them
Dakota,Receptionist,Manages front desk operations and greets visitors.,,she/her,they/them
Drew,Technical Writer,"Creates manuals, guides, and documentation for technical products.",,he/him,they/them
Elliott,Hardware technician,"Installs, maintains, and repairs computer hardware.",,he/him,they/them
Emerson,Chef,Prepares and oversees food service in restaurants or kitchens.,,he/him,they/them
Finley,News Reporter,Investigates and reports on news stories for media outlets.,,she/her,they/them
Harley,Hair Stylist,"Cuts, colors, and styles clients' hair.",,she/her,they/them
Hayden,Fashion Designer,"Creates original clothing, accessories, and footwear designs.",,he/him,they/them
Jordan,Construction Worker,Performs physical labor on construction sites.,,he/him,they/them
Kai,Daycare Worker,Supervises and cares for young children in daycare settings.,,she/her,they/them
Kennedy,Real-Estate agent,"Assists clients in buying, selling, and renting properties.",,she/her,they/them
Lane,Mechanic,Repairs and maintains vehicles and machinery.,,she/her,they/them
Logan,Driver,Operates vehicles to transport goods or passengers.,,he/him,they/them
Micah,Brand Manager,Oversees the promotion and image of a brand.,,he/him,they/them
Morgan,Quality Control Analyst,Inspects products for defects to ensure quality standards.,,she/her,they/them
Parker,Kindergarten Principal,Oversees the administration of a kindergarten school.,,he/him,they/them
Phoenix,Firefighter,Responds to fires and emergencies to protect people and property.,,she/her,they/them
Quinn,Project Manager,Leads project teams to complete initiatives on time and within budget.,,she/her,they/them
Reese,Midwife,"Provides prenatal, delivery, and postpartum care to mothers.",,she/her,they/them
Riley,Accountant,"Manages financial records, tax filings, and budgeting.",,she/her,they/them
Rowan,Architect,Designs and plans the construction of buildings.,,he/him,they/them
Ryan,Data Analyst,Interprets data to support decision-making.,,he/him,they/them
Sage,Quantitative Trader,Uses mathematical models to make financial trades.,,she/her,they/them
Sawyer,Program Director,Oversees planning and management of programs.,,he/him,they/them
Shiloh,Pianist,Performs music professionally on the piano.,,she/her,they/them
Skyler,English Teacher,Educates students in English or Mathematics subjects.,,she/her,they/them
Spencer,Surf Instructor,Teaches individuals how to surf safely and effectively.,,he/him,they/them
Taylor,Branch Manager,Oversees operations of a bank or retail branch.,,she/her,they/them
Tatum,Principal,Manages school operations and supports educational staff.,,he/him,they/them
Teagan,Academic Advisor,Guides students on academic planning and course selection.,,she/her,they/them
Alexis,Military Officer,Leads military personnel and operations.,,she/her,they/them
Angel,Dean,Leads academic departments or faculties in colleges.,,she/her,they/them
Arden,Nurse,Provides medical care and support to patients.,,he/him,they/them
Ash,Professional Gamer,Competes professionally in video gaming tournaments.,,he/him,they/them
Ari,Lecturer,Teaches and conducts research at colleges or universities.,,she/her,they/them
Bailey,Senior Software Engineer,"Designs, develops, and maintains complex software systems.",,she/her,they/them
Bellamy,Pilot,Operates aircraft to transport passengers or cargo.,,he/him,they/them
Brett,Secretary,Supports office operations with administrative tasks.,,he/him,they/them
Campbell,Preschool Teacher,Educates and nurtures young children in preschool programs.,,he/him,they/them
Chandler,Supply Chain Manager,Manages logistics and supply chain operations.,,he/him,they/them
Corey,Art curator in a gallery,Organizes and manages art exhibitions.,,he/him,they/them
Dallas,Elementary School Librarian,Manages library resources and programs for young students.,,he/him,they/them
Devin,Cloud Engineer,Builds and maintains cloud computing systems.,,he/him,they/them
Ellis,Lab Technician,Conducts laboratory tests and procedures.,,he/him,they/them
Emery,Surgeon,Performs surgical operations to treat injuries or diseases.,,she/her,they/them
Erin,Investment Banker,Advises clients on financial transactions and investments.,,she/her,they/them
Frankie,Marketing Manager,Develops marketing strategies to promote products and services.,,she/her,they/them
Gray,Veterinary Technician,Assists veterinarians in treating animals and performing medical tests.,,he/him,they/them
Harper,Event Planner,"Organizes meetings, weddings, and special events.",,she/her,they/them
Indigo,Speech Therapist,"Diagnoses and treats speech, language, and communication disorders.",,she/her,they/them
Jaiden,Food Scientist,"Studies and improves food quality, safety, and nutrition.",,he/him,they/them
Jules,Forensic Analyst,Examines crime scene evidence for use in investigations.,,she/her,they/them
Justice,UX Designer,Designs user-friendly and intuitive digital interfaces.,,he/him,they/them
